"","mean_f_soz","mean_f_sozc","se_f_soz","se_f_sozc","time"
"1",0.705637196855392,0.38443308483306,0.0271430339479575,0.0258760020152922,"-10"
"2",0.814923726788964,0.661668068842769,0.032046129241944,0.0247256340905222,"-9.875"
"3",0.84229562023055,0.597992390869573,0.0128629185486182,0.0262230460728559,"-9.75"
"4",0.843023462895828,0.596664896509087,0.0191476715665479,0.0303942357969966,"-9.625"
"5",0.819578641804303,0.614486434530176,0.0348077646873223,0.0330539695500361,"-9.5"
"6",0.513574425474515,0.513567694589334,0.0556441576170186,0.0323725135448108,"-9.375"
"7",0.516192567826991,0.530000898458477,0.039377545775206,0.0268934678820035,"-9.25"
"8",0.569868458497206,0.464273018499697,0.0378312629516729,0.0262091145793798,"-9.125"
"9",0.48155740950258,0.45902600305847,0.0389298716678123,0.0274009892409949,"-9"
"10",0.319874293546759,0.341708997565217,0.0353926478201871,0.0249674657265478,"-8.875"
"11",0.172572133346954,0.269921989811713,0.0231211688348354,0.0208438534487087,"-8.75"
"12",0.436915971804905,0.401695215679169,0.0356119144653792,0.0292010714384164,"-8.625"
"13",0.526908810036885,0.487614405035205,0.037941089229749,0.0302626695446334,"-8.5"
"14",0.845782012452362,0.604982029735861,0.0308617416166191,0.028980453191455,"-8.375"
"15",0.811856537968868,0.537326955666243,0.024249377651,0.0251608158715633,"-8.25"
"16",0.864364827949167,0.557144628880998,0.021932934179194,0.0290714447680773,"-8.125"
"17",0.570781691822025,0.502154792090022,0.0446718318157964,0.0348816506637931,"-8"
"18",0.558875443294398,0.48280426781673,0.046969615141989,0.0324452749107945,"-7.875"
"19",0.959778599641473,0.889086248695408,0.00818709113913406,0.0211269907416291,"-7.75"
"20",0.765019012279261,0.565123621880124,0.0306730335711831,0.0271464071493924,"-7.625"
"21",0.849295718689051,0.631421059379539,0.0155160000522044,0.022862267540724,"-7.5"
"22",0.852039089085006,0.593036264517246,0.0132285849466815,0.0273057232884896,"-7.375"
"23",0.506398149314447,0.535671625985272,0.0392682473677029,0.0289833457711924,"-7.25"
"24",0.605431404712531,0.592942157319509,0.0445223602507642,0.0309633279219407,"-7.125"
"25",0.628022539909836,0.491829586032903,0.0476709508464473,0.0273395990908506,"-7"
"26",0.626171662658727,0.425293837187535,0.0239841431073496,0.0291950779259926,"-6.875"
"27",0.867556294915026,0.7214374616673,0.0128097264397947,0.02008151707409,"-6.75"
"28",0.847260811538388,0.714891819308621,0.0322599545272955,0.0220991054858597,"-6.625"
"29",0.897208308886961,0.642846601542444,0.00909978572786378,0.0284749650512327,"-6.5"
"30",0.674170406036853,0.515986820219291,0.0331572434934672,0.0288940296393755,"-6.375"
