"","mean_f_soz","mean_f_sozc","se_f_soz","se_f_sozc","time"
"1",0.328541821452313,0.31108598759568,0.067230983840213,0.0204359558534337,"-10"
"2",0.365745121808157,0.312909295419572,0.0751778464075987,0.0243597600195522,"-9.875"
"3",0.500363664802722,0.501324160055451,0.134346416405213,0.0258565307016886,"-9.75"
"4",0.47574394869589,0.448904443488575,0.0954354122794884,0.0270053939379649,"-9.625"
"5",0.615688421381926,0.557738592249945,0.105332941926986,0.0241167317909407,"-9.5"
"6",0.347147382004458,0.496178184252233,0.111179993160891,0.0259423786449261,"-9.375"
"7",0.438438978610253,0.506148105040319,0.0934449532173267,0.0248252521215344,"-9.25"
"8",0.171860947092637,0.340810965609409,0.0653953511561794,0.024402092836235,"-9.125"
"9",0.0822195284088687,0.249994441134683,0.0114185645787369,0.0198627526337421,"-9"
"10",0.539975755679819,0.466074820026943,0.0806138734454297,0.0244072908390766,"-8.875"
"11",0.505306377820357,0.504477761855143,0.0656355263775801,0.0269216017675669,"-8.75"
"12",0.199906151018653,0.424069733473493,0.0922221701663845,0.0291579574895658,"-8.625"
"13",0.280522425996168,0.583011494199995,0.120829531723853,0.0252265315837559,"-8.5"
"14",0.293567434403472,0.445415009549747,0.0865798186401205,0.0259085846253155,"-8.375"
"15",0.288022523755523,0.494901178709469,0.122327761623934,0.0277206993769848,"-8.25"
"16",0.569334845344699,0.376186434375103,0.130458655083269,0.0282265251704137,"-8.125"
"17",0.302709889336409,0.38475360425326,0.113065628546388,0.0247939839359609,"-8"
"18",0.568232119813866,0.364259409625501,0.0816722875812653,0.0271099676119009,"-7.875"
"19",0.330027763656982,0.285252215303671,0.0970641249949789,0.0223425048542464,"-7.75"
"20",0.342462753685528,0.319449587992238,0.151513125179059,0.0247751375753688,"-7.625"
"21",0.524162202322762,0.337417757546064,0.133394189899954,0.0256422187417261,"-7.5"
"22",0.320470809056427,0.382845188284519,0.0825715750519189,0.0266666403681044,"-7.375"
"23",0.31207914597427,0.364939508044253,0.132041797748708,0.0273256268988472,"-7.25"
"24",0.607328041293552,0.590713014568828,0.0983401831107636,0.0297513821411495,"-7.125"
"25",0.765487037109451,0.68842138192625,0.100510284952452,0.0261389876236929,"-7"
"26",0.591279865483127,0.502813935960338,0.203005601787424,0.0262803558583814,"-6.875"
"27",0.459195244984945,0.541236429659652,0.100521149467628,0.024211344763495,"-6.75"
"28",0.505103038360771,0.471537842838226,0.0974959796313323,0.0252747561994869,"-6.625"
"29",0.386493567434403,0.471741412319826,0.129772311181619,0.0253708047545586,"-6.5"
"30",0.27030852852618,0.25756791591622,0.109150258660263,0.0195574754510383,"-6.375"
"31",0.179361044851992,0.217760306327982,0.0527205252456357,0.0150377007939084,"-6.25"
"32",0.464435146443515,0.388008032368698,0.14379515720607,0.0222852357048084,"-6.125"
"33",0.230649513158409,0.226747266380059,0.0274926912718529,0.00918205657189324,"-6"
"34",0.195276267938842,0.230187628956091,0.0754788424583875,0.0210407524177866,"-5.875"
"35",0.248598130841121,0.372667480944593,0.069248102226604,0.0273338713003489,"-5.75"
"36",0.423626481054237,0.445518136085623,0.0763554019598301,0.0252504771830303,"-5.625"
"37",0.820787549368475,0.514580328670787,0.0785223756873076,0.0270357739183478,"-5.5"
"38",0.594369061119149,0.330921169155888,0.131528334651889,0.0286361724586541,"-5.375"
"39",0.76627693270246,0.480148333528852,0.154018991224473,0.0262113283539859,"-5.25"
"40",0.663598326359833,0.388795474393566,0.132730520875924,0.0248844068530845,"-5.125"
"41",0.605802995346655,0.375211141039531,0.157621136093954,0.0237386373771673,"-5"
"42",0.500942400187698,0.308735545991751,0.155750430413442,0.023422112587292,"-4.875"
