"","mean_f_soz","mean_f_sozc","se_f_soz","se_f_sozc","time"
"1",0.925977057489663,0.899236468781061,0.00829792394473556,0.0301726029961278,"-10"
"2",0.895925036681339,0.848307279901208,0.0121483801527143,0.0290606672362514,"-9.875"
"3",0.0919401093770842,0.115499533146592,0.0171823909383379,0.00967838067117086,"-9.75"
"4",0.143554088301987,0.185536580223487,0.01818159144369,0.00874956199000471,"-9.625"
"5",0.13734493797519,0.188033492967079,0.0185477857238551,0.00851999386487721,"-9.5"
"6",0.280195411497933,0.304641426463058,0.0216577366027773,0.00634637564980511,"-9.375"
"7",0.986047752434307,0.946515165205867,0.00463857693683765,0.0315961837543687,"-9.25"
"8",0.372575696945445,0.328901237914521,0.0117022867768512,0.0154154725233326,"-9.125"
"9",0.838628784847272,0.750093370681606,0.0209544491134467,0.0295241988435759,"-9"
"10",0.939782579698546,0.901034607391344,0.0167261454241359,0.0320886935253156,"-8.875"
"11",0.245088035214086,0.245450438239812,0.0189894074126542,0.011202204780591,"-8.75"
"12",0.0955882352941177,0.107689527423873,0.0174219387824317,0.00886636024590406,"-8.625"
"13",0.355862344937975,0.33575042920394,0.00848650159474709,0.012243024208029,"-8.5"
"14",0.901347205548886,0.833771573145387,0.0224309438974233,0.0313966172705714,"-8.375"
"15",0.945704948646125,0.882294208005783,0.00869227724708169,0.0300590672236408,"-8.25"
"16",0.912845138055222,0.872303545073944,0.00796840061679059,0.0291098283864455,"-8.125"
"17",0.154945311457916,0.199358453058643,0.0178111229677183,0.0079656123770201,"-8"
"18",0.111644657863145,0.134500466853408,0.0146038308564821,0.0099645422781699,"-7.875"
"19",0.983213285314126,0.943750188247342,0.00374613747197312,0.0311887839071465,"-7.75"
"20",0.351340536214486,0.33559681937291,0.00784520653467661,0.0122930869909004,"-7.625"
"21",0.352947845804989,0.326726604620343,0.0111545234013103,0.0120339183622785,"-7.5"
"22",0.117943844204348,0.151832776121201,0.0179525821054881,0.0089542296178778,"-7.375"
"23",0.107086167800454,0.126710038854251,0.0178601948838221,0.00900506694594704,"-7.25"
"24",0.835981059090303,0.725901328273245,0.0202323675211751,0.0263866586101465,"-7.125"
"25",0.910250766973456,0.842921899942773,0.0115942175928475,0.0289146464089005,"-7"
"26",0.899966653327998,0.838187102798108,0.0124096441158268,0.0286484592627951,"-6.875"
"27",0.117933840202748,0.146087467244962,0.0165853548249978,0.00993059611354973,"-6.75"
"28",0.977070828331333,0.927440438541008,0.00486450817515928,0.0307472209688976,"-6.625"
"29",0.934613845538215,0.86455980241559,0.0108498471026866,0.029153691687573,"-6.5"
"30",0.278711484593838,0.282613475497726,0.0193081419227919,0.0112836125767003,"-6.375"
"31",0.980698946245165,0.917985904039035,0.0050793148004398,0.0306095230792234,"-6.25"
"32",0.105485527544351,0.122261377669347,0.0167837439133645,0.00863358395166009,"-6.125"
"33",0.101610644257703,0.117110930393663,0.0182091867638986,0.00919903488882423,"-6"
"34",0.127160864345738,0.153432125538387,0.0180331037620819,0.00883481752866304,"-5.875"
"35",0.487381619314392,0.454322158971115,0.00549594991993645,0.0155335801293695,"-5.75"
"36",0.995558223289316,0.963291768320231,0.0012240643241993,0.0317500088453314,"-5.625"
"37",0.952460984393757,0.901194241137315,0.0102257157612682,0.0301758329925804,"-5.5"
"38",0.277601040416166,0.289018403060149,0.0223560563684107,0.00958133023745724,"-5.375"
"39",0.871121782046152,0.813772175536881,0.0142878950773522,0.0299363901973163,"-5.25"
"40",0.862418300653595,0.829410258727147,0.0206382834650503,0.0298469417659022,"-5.125"
"41",0.419347739095638,0.387857293455016,0.00980592547962132,0.0152430460702091,"-5"
"42",0.941423235961051,0.909115689286467,0.00730253697471498,0.0302323412735141,"-4.875"
"43",0.612865146058423,0.553442667389537,0.015310236384767,0.0189352073316647,"-4.75"
"44",0.967326930772309,0.893233637541038,0.0058610887950276,0.0299909778897503,"-4.625"
"45",0.865279445111378,0.770683111954459,0.0190030086556204,0.0297315407289257,"-4.5"
"46",0.529431772709084,0.478137706695581,0.013559290291574,0.0162161575691922,"-4.375"
"47",0.132282913165266,0.131776151320743,0.0214706405752323,0.0110542517220155,"-4.25"
"48",0.13186941443244,0.132619499412668,0.0202404589575846,0.0113183256470091,"-4.125"
"49",0.642013472055489,0.599846390168971,0.0511090013791525,0.0214467200496275,"-4"
"50",0.787581699346405,0.706212162284269,0.0191052422504255,0.0324367653607654,"-3.875"
"51",0.119471121782046,0.136519984337821,0.0152258423762168,0.00952433782415105,"-3.75"
"52",0.957869814592504,0.91021204180597,0.00906263558490848,0.030575738263913,"-3.625"
"53",0.89297052154195,0.855282973404416,0.0153997823019626,0.0296702922156668,"-3.5"
"54",0.88578764839269,0.840623776392277,0.0218260694901263,0.0305547543388056,"-3.375"
"55",0.413638788848873,0.388953645974519,0.00685826750036508,0.0141592422758276,"-3.25"
"56",0.10702947845805,0.130112044817927,0.0154913177012198,0.0110411465121484,"-3.125"
"57",0.402574363078565,0.354767928676847,0.00808815041070563,0.0172347306379047,"-3"
"58",0.891136454581833,0.841205084184211,0.0208000587675371,0.0301585042360066,"-2.875"
"59",0.923949579831933,0.90162193909822,0.0116987017683959,0.031168477770937,"-2.75"
"60",0.868474056289182,0.829337971747839,0.0150791867332337,0.029973003380631,"-2.625"
"61",0.20797318927571,0.246564862504141,0.0222387806290869,0.00435025669491645,"-2.5"
"62",0.859517140189409,0.831307791933978,0.012128894210876,0.0280975140777354,"-2.375"
"63",0.406575963718821,0.39866419686154,0.00384234525758587,0.0130896776657869,"-2.25"
"64",0.707062825130052,0.659590072588175,0.0193156119726996,0.0274064311124988,"-2.125"
"65",0.851207149526477,0.83279268696726,0.0174383882023841,0.029910821627211,"-2"
"66",0.400493530745632,0.371315623023403,0.00744861925478043,0.0146710603113184,"-1.875"
"67",0.371635320794985,0.354165537182615,0.00675993827527451,0.0132418485857909,"-1.75"
"68",0.171531946111778,0.210577994638716,0.0199079400045757,0.0080197321767976,"-1.625"
"69",0.132516339869281,0.175850124996235,0.0177884463402282,0.00963998414665742,"-1.5"
"70",0.560337468320662,0.540373783922171,0.00535730498151617,0.0185436287815168,"-1.375"
"71",0.43562091503268,0.400679196409747,0.00835521991560855,0.0152069338850356,"-1.25"
"72",0.843644124316393,0.823067076292883,0.0136820330845411,0.0288802405275458,"-1.125"
"73",0.972475656929438,0.943599590373784,0.00380199625233743,0.0311795247742028,"-1"
"74",0.938061891423236,0.903043583024608,0.0104232505793491,0.0303995093922057,"-0.875"
"75",0.856169134320395,0.800793650793651,0.0100995061624526,0.0271937462286574,"-0.75"
"76",0.844264372415633,0.789739766874492,0.00988860312485809,0.0276555326698563,"-0.625"
"77",0.75875683606776,0.726753712237583,0.0173669286533693,0.0265836923425555,"-0.5"
"78",0.98391356542617,0.950948766603416,0.00209864294825741,0.0313647614398366,"-0.375"
"79",0.43327997865813,0.399826812445408,0.00913947727493834,0.0154793709435868,"-0.25"
"80",0.103891556622649,0.129577422366796,0.019291609328924,0.00983549314097075,"-0.125"
"81",0.923462718420702,0.893552905032981,0.00903396468788891,0.0304235280566475,"0"
"82",0.337675070028011,0.33071744826963,0.00935292130534533,0.0122651192781134,"0.125"
"83",0.40530879018274,0.367659106653414,0.00705069660302153,0.0159374222949752,"0.25"
"84",0.562738428704815,0.479658745218518,0.0230884909651178,0.0289483339741207,"0.375"
"85",0.6187474989996,0.53902141501762,0.0206524400566868,0.0321805584942989,"0.5"
"86",0.390109377084167,0.349355441101172,0.0115874121881982,0.0134875391380137,"0.625"
"87",0.0812124849939976,0.107675973615253,0.0146479884366411,0.0101100844856184,"0.75"
"88",0.619034280378818,0.586384446251619,0.0243067960886785,0.0253768136993461,"0.875"
"89",0.755195411497932,0.741593626697991,0.0339276188642874,0.0286427335623959,"1"
"90",0.323075897025477,0.276553417065751,0.0151907964838032,0.0158076608894655,"1.125"
"91",0.10016339869281,0.125309478630162,0.0180097878939794,0.00997177853487131,"1.25"
"92",0.906302521008403,0.847488027469052,0.0126532909482492,0.030232660373702,"1.375"
"93",0.740736294517807,0.62401885485377,0.0274119145278768,0.0300968994919628,"1.5"
"94",0.428998265973056,0.370948164211921,0.0129497919695525,0.0152429204336795,"1.625"
"95",0.661704681872749,0.559620192162887,0.0217890743813991,0.0343042425879672,"1.75"
"96",0.682546351874083,0.635780548778651,0.0307821185044244,0.0277340499618531,"1.875"
"97",0.692697078831533,0.638416011565917,0.0193940039377937,0.0275864141032079,"2"
"98",0.88875550220088,0.828868106382338,0.0222349422971134,0.030607791056069,"2.125"
